activity;case;start;end;type;user
send original documents to archive;25;06.01.2017 03:52:00;09.01.2017 06:32:00;Employee;EX1339
calculate payments;25;24.01.2017 05:52:00;27.01.2017 08:41:00;Accounting;WE5108
pay expenses;25;09.02.2017 08:25:00;09.02.2017 08:29:00;Accounting;WE5108
pay expenses;26;23.01.2017 08:20:00;23.01.2017 08:24:00;Accounting;JK6642
send original documents to archive;28;05.01.2017 03:57:00;09.01.2017 06:43:00;Employee;UD8289
calculate payments;28;09.02.2017 06:12:00;13.02.2017 08:33:00;Accounting;VA7847
pay expenses;28;20.02.2017 14:17:00;20.02.2017 14:23:00;Accounting;VA7847
check if expense documents exist;29;17.01.2017 10:14:00;17.01.2017 10:40:00;Employee;MV9004
file travel expense report;29;17.01.2017 10:40:00;17.01.2017 10:53:00;Employee;MV9004
confirm travel expense report;29;17.01.2017 10:53:00;17.01.2017 10:55:00;Employee;MV9004
decide on travel expense approval;29;17.01.2017 13:00:00;17.01.2017 13:05:00;Manager;TJ5159
send request for travel expense correction;29;17.01.2017 13:05:00;17.01.2017 13:07:00;;
correct travel expense report;29;23.01.2017 05:59:00;23.01.2017 06:46:00;Employee;MV9004
decide on travel expense approval;29;23.01.2017 13:02:00;23.01.2017 13:04:00;Manager;TJ5159
send request for travel expense correction;29;23.01.2017 13:04:00;23.01.2017 13:06:00;;
correct travel expense report;29;30.01.2017 05:59:00;30.01.2017 06:24:00;Employee;MV9004
decide on travel expense approval;29;30.01.2017 13:01:00;30.01.2017 13:07:00;Manager;TJ5159
send request for travel expense correction;29;30.01.2017 13:07:00;30.01.2017 13:08:00;;
correct travel expense report;29;03.02.2017 14:16:00;03.02.2017 15:11:00;Employee;MV9004
decide on travel expense approval;29;06.02.2017 12:59:00;06.02.2017 13:02:00;Manager;TJ5159
calculate payments;29;23.02.2017 08:18:00;23.02.2017 08:37:00;Accounting;JH2172
send original documents to archive;29;27.02.2017 05:59:00;27.02.2017 06:04:00;Employee;MV9004
pay expenses;29;20.03.2017 08:58:00;20.03.2017 09:04:00;Accounting;JH2172
correct travel expense report;30;01.01.2017 12:30:00;03.01.2017 15:24:00;Employee;HX8114
decide on travel expense approval;30;04.01.2017 12:59:00;04.01.2017 13:03:00;Manager;CV4719
send original documents to archive;30;19.01.2017 16:51:00;19.01.2017 17:28:00;Employee;HX8114
calculate payments;30;30.01.2017 08:24:00;30.01.2017 09:15:00;Accounting;GR7476
pay expenses;30;02.02.2017 07:59:00;02.02.2017 08:09:00;Accounting;GR7476
pay expenses;32;16.01.2017 09:24:00;16.01.2017 09:31:00;Accounting;WO40
send original documents to archive;35;02.01.2017 04:00:00;06.01.2017 06:23:00;Employee;KG9386
calculate payments;35;07.01.2017 06:00:00;11.01.2017 08:14:00;Accounting;WO40
pay expenses;35;23.01.2017 08:05:00;23.01.2017 08:08:00;Accounting;WO40
calculate payments;37;20.02.2017 08:00:00;22.02.2017 10:53:00;Accounting;WE5108
pay expenses;37;27.02.2017 07:59:00;27.02.2017 08:08:00;Accounting;WE5108
pay expenses;38;08.01.2017 06:33:00;09.01.2017 08:37:00;Accounting;VA7847
decide on travel expense approval;40;01.01.2017 15:08:00;02.01.2017 13:00:00;Manager;OX4346
send original documents to archive;40;05.01.2017 20:57:00;05.01.2017 21:33:00;Employee;TI3640
calculate payments;40;03.02.2017 07:59:00;03.02.2017 08:29:00;Accounting;VA7847
pay expenses;40;20.02.2017 09:51:00;20.02.2017 09:59:00;Accounting;VA7847
pay expenses;41;09.01.2017 01:32:00;11.01.2017 08:03:00;Accounting;CX8911
check if expense documents exist;42;06.01.2017 05:59:00;06.01.2017 06:07:00;Employee;FA8394
upload travel expense documents;42;06.01.2017 06:07:00;06.01.2017 06:15:00;Employee;FA8394
file travel expense report;42;06.01.2017 06:15:00;06.01.2017 06:26:00;Employee;FA8394
confirm travel expense report;42;06.01.2017 06:26:00;06.01.2017 06:27:00;Employee;FA8394
decide on travel expense approval;42;06.01.2017 12:59:00;06.01.2017 13:03:00;Manager;YS1169
send original documents to archive;42;16.01.2017 05:59:00;16.01.2017 06:45:00;Employee;FA8394
calculate payments;42;07.02.2017 08:04:00;07.02.2017 08:58:00;Accounting;WE5108
pay expenses;42;20.02.2017 08:08:00;20.02.2017 08:15:00;Accounting;WE5108
pay expenses;44;11.01.2017 07:59:00;11.01.2017 08:05:00;Accounting;WO40
pay expenses;45;17.01.2017 01:26:00;20.01.2017 08:05:00;Accounting;FQ3758
calculate payments;46;04.01.2017 05:51:00;12.01.2017 08:41:00;Accounting;CX8911
pay expenses;46;31.01.2017 07:59:00;31.01.2017 08:07:00;Accounting;CX8911
upload travel expense documents;48;02.01.2017 06:30:00;02.01.2017 06:35:00;Employee;UL7105
file travel expense report;48;02.01.2017 06:35:00;02.01.2017 06:45:00;Employee;UL7105
confirm travel expense report;48;02.01.2017 06:45:00;02.01.2017 06:47:00;Employee;UL7105
decide on travel expense approval;48;02.01.2017 13:04:00;02.01.2017 13:09:00;Manager;OX4346
send original documents to archive;48;04.01.2017 05:59:00;04.01.2017 06:29:00;Employee;UL7105
calculate payments;48;06.02.2017 09:08:00;06.02.2017 09:27:00;Accounting;GR7476
pay expenses;48;20.02.2017 09:43:00;20.02.2017 09:53:00;Accounting;GR7476
pay expenses;49;30.01.2017 08:21:00;30.01.2017 08:24:00;Accounting;GR7476
pay expenses;50;12.01.2017 07:59:00;12.01.2017 08:06:00;Accounting;GR7476
decide on travel expense approval;51;01.01.2017 17:18:00;02.01.2017 13:02:00;Manager;OX4346
send request for travel expense correction;51;02.01.2017 13:02:00;02.01.2017 13:03:00;;
correct travel expense report;51;09.01.2017 08:25:00;09.01.2017 08:48:00;Employee;VP8299
decide on travel expense approval;51;09.01.2017 13:08:00;09.01.2017 13:10:00;Manager;OX4346
send original documents to archive;51;17.01.2017 05:59:00;17.01.2017 06:13:00;Employee;VP8299
calculate payments;51;06.02.2017 07:59:00;06.02.2017 08:51:00;Accounting;CX8911
pay expenses;51;13.02.2017 07:59:00;13.02.2017 08:11:00;Accounting;CX8911
pay expenses;53;02.01.2017 03:19:00;06.01.2017 09:38:00;Accounting;WO40
calculate payments;56;16.02.2017 06:02:00;20.02.2017 08:21:00;Accounting;JK6642
pay expenses;56;06.03.2017 10:06:00;06.03.2017 10:12:00;Accounting;JK6642
pay expenses;57;06.01.2017 02:09:00;09.01.2017 08:44:00;Accounting;FI12
send original documents to archive;58;01.01.2017 17:33:00;04.01.2017 19:54:00;Employee;YX6007
calculate payments;58;13.01.2017 07:10:00;16.01.2017 09:44:00;Accounting;JK6642
pay expenses;58;30.01.2017 07:59:00;30.01.2017 08:06:00;Accounting;JK6642
pay expenses;59;23.01.2017 08:41:00;23.01.2017 08:52:00;Accounting;GU1789
pay expenses;60;20.01.2017 07:59:00;20.01.2017 08:04:00;Accounting;FQ3758
pay expenses;62;12.01.2017 02:07:00;16.01.2017 08:54:00;Accounting;FI12
pay expenses;64;10.01.2017 10:33:00;10.01.2017 10:37:00;Accounting;JH2172
check if expense documents exist;65;06.02.2017 05:59:00;06.02.2017 07:03:00;Employee;KH123
file travel expense report;65;06.02.2017 07:03:00;06.02.2017 07:16:00;Employee;KH123
confirm travel expense report;65;06.02.2017 07:16:00;06.02.2017 07:18:00;Employee;KH123
decide on travel expense approval;65;06.02.2017 13:12:00;06.02.2017 13:14:00;Manager;JH852
send original documents to archive;65;13.02.2017 05:59:00;13.02.2017 06:30:00;Employee;KH123
calculate payments;65;23.02.2017 07:59:00;23.02.2017 08:58:00;Accounting;FI12
pay expenses;65;06.03.2017 09:08:00;06.03.2017 09:20:00;Accounting;FI12
upload travel expense documents;66;02.01.2017 06:28:00;02.01.2017 06:38:00;Employee;TQ6233
file travel expense report;66;02.01.2017 06:38:00;02.01.2017 06:59:00;Employee;TQ6233
confirm travel expense report;66;02.01.2017 06:59:00;02.01.2017 07:02:00;Employee;TQ6233
decide on travel expense approval;66;02.01.2017 13:06:00;02.01.2017 13:12:00;Manager;MA6233
send original documents to archive;66;02.01.2017 17:15:00;02.01.2017 17:24:00;Employee;TQ6233
calculate payments;66;23.02.2017 08:37:00;23.02.2017 09:26:00;Accounting;GR7476
pay expenses;66;13.03.2017 08:08:00;13.03.2017 08:18:00;Accounting;GR7476
decide on travel expense approval;69;02.01.2017 13:01:00;02.01.2017 13:03:00;Manager;TD8091
send original documents to archive;69;09.01.2017 05:59:00;09.01.2017 06:21:00;Employee;RV949
calculate payments;69;24.01.2017 07:59:00;24.01.2017 08:35:00;Accounting;WE5108
pay expenses;69;01.02.2017 07:59:00;01.02.2017 08:07:00;Accounting;WE5108
pay expenses;71;06.01.2017 07:59:00;06.01.2017 08:03:00;Accounting;WO40
calculate payments;72;07.01.2017 05:50:00;11.01.2017 08:37:00;Accounting;GR7476
pay expenses;72;13.01.2017 10:06:00;13.01.2017 10:14:00;Accounting;GR7476
upload travel expense documents;74;06.01.2017 06:05:00;06.01.2017 06:20:00;Employee;TC1862
file travel expense report;74;06.01.2017 06:20:00;06.01.2017 06:30:00;Employee;TC1862
confirm travel expense report;74;06.01.2017 06:30:00;06.01.2017 06:30:00;Employee;TC1862
decide on travel expense approval;74;06.01.2017 12:59:00;06.01.2017 13:03:00;Manager;MA6233
send request for travel expense correction;74;06.01.2017 13:03:00;06.01.2017 13:05:00;;
correct travel expense report;74;16.01.2017 05:59:00;16.01.2017 07:16:00;Employee;TC1862
decide on travel expense approval;74;16.01.2017 13:06:00;16.01.2017 13:09:00;Manager;MA6233
send request for travel expense correction;74;16.01.2017 13:09:00;16.01.2017 13:09:00;;
correct travel expense report;74;24.01.2017 11:07:00;24.01.2017 12:06:00;Employee;TC1862
decide on travel expense approval;74;24.01.2017 13:00:00;24.01.2017 13:04:00;Manager;MA6233
send original documents to archive;74;25.01.2017 15:48:00;25.01.2017 16:30:00;Employee;TC1862
calculate payments;74;13.02.2017 11:58:00;13.02.2017 12:44:00;Accounting;WO40
pay expenses;74;08.03.2017 08:22:00;08.03.2017 08:29:00;Accounting;WO40
calculate payments;75;04.01.2017 06:53:00;16.01.2017 09:39:00;Accounting;WO40
pay expenses;75;23.01.2017 07:59:00;23.01.2017 08:07:00;Accounting;WO40
pay expenses;76;05.01.2017 01:04:00;06.01.2017 08:04:00;Accounting;CX8911
pay expenses;78;16.01.2017 14:27:00;16.01.2017 14:34:00;Accounting;FI12
check if expense documents exist;80;16.01.2017 07:40:00;16.01.2017 07:44:00;Employee;PR6751
file travel expense report;80;16.01.2017 07:44:00;16.01.2017 07:58:00;Employee;PR6751
confirm travel expense report;80;16.01.2017 07:58:00;16.01.2017 08:00:00;Employee;PR6751
decide on travel expense approval;80;16.01.2017 13:07:00;16.01.2017 13:10:00;Manager;TF7102
send original documents to archive;80;16.01.2017 14:14:00;16.01.2017 14:40:00;Employee;PR6751
calculate payments;80;06.02.2017 09:32:00;06.02.2017 10:11:00;Accounting;GU1789
pay expenses;80;13.02.2017 09:45:00;13.02.2017 09:50:00;Accounting;GU1789
pay expenses;83;18.01.2017 08:15:00;18.01.2017 08:19:00;Accounting;JK6642
pay expenses;85;11.01.2017 07:59:00;11.01.2017 08:11:00;Accounting;JH2172
send original documents to archive;86;01.01.2017 03:50:00;02.01.2017 06:29:00;Employee;PN2841
calculate payments;86;12.02.2017 05:56:00;13.02.2017 08:36:00;Accounting;FI12
pay expenses;86;27.02.2017 09:13:00;27.02.2017 09:17:00;Accounting;FI12
calculate payments;87;25.01.2017 06:33:00;06.02.2017 09:30:00;Accounting;GR7476
pay expenses;87;28.02.2017 08:56:00;28.02.2017 09:04:00;Accounting;GR7476
calculate payments;88;06.01.2017 05:50:00;16.01.2017 08:54:00;Accounting;WO40
pay expenses;88;30.01.2017 09:46:00;30.01.2017 09:50:00;Accounting;WO40
check if expense documents exist;89;11.01.2017 20:19:00;11.01.2017 21:05:00;Employee;TJ5159
upload travel expense documents;89;11.01.2017 21:05:00;11.01.2017 21:10:00;Employee;TJ5159
file travel expense report;89;11.01.2017 21:10:00;11.01.2017 21:23:00;Employee;TJ5159
confirm travel expense report;89;11.01.2017 21:23:00;11.01.2017 21:27:00;Employee;TJ5159
decide on travel expense approval;89;12.01.2017 12:59:00;12.01.2017 13:02:00;Manager;CN787
send original documents to archive;89;25.01.2017 12:33:00;25.01.2017 12:44:00;Employee;TJ5159
calculate payments;89;16.02.2017 08:06:00;16.02.2017 08:43:00;Accounting;FI12
pay expenses;89;06.03.2017 09:59:00;06.03.2017 10:06:00;Accounting;FI12
check if expense documents exist;91;09.01.2017 17:28:00;09.01.2017 18:08:00;Employee;PT8559
file travel expense report;91;09.01.2017 18:08:00;09.01.2017 18:14:00;Employee;PT8559
confirm travel expense report;91;09.01.2017 18:14:00;09.01.2017 18:18:00;Employee;PT8559
decide on travel expense approval;91;10.01.2017 12:59:00;10.01.2017 13:03:00;Manager;YS1169
send request for travel expense correction;91;10.01.2017 13:03:00;10.01.2017 13:05:00;;
correct travel expense report;91;19.01.2017 05:59:00;19.01.2017 06:22:00;Employee;PT8559
decide on travel expense approval;91;19.01.2017 12:59:00;19.01.2017 13:02:00;Manager;YS1169
send original documents to archive;91;26.01.2017 05:59:00;26.01.2017 06:08:00;Employee;PT8559
calculate payments;91;06.02.2017 10:02:00;06.02.2017 10:54:00;Accounting;GU1789
pay expenses;91;14.02.2017 13:34:00;14.02.2017 13:40:00;Accounting;GU1789
calculate payments;93;14.01.2017 05:48:00;24.01.2017 08:32:00;Accounting;FQ3758
pay expenses;93;31.01.2017 07:59:00;31.01.2017 08:08:00;Accounting;FQ3758
pay expenses;94;16.01.2017 09:17:00;16.01.2017 09:25:00;Accounting;WE5108
calculate payments;95;10.01.2017 05:48:00;18.01.2017 08:16:00;Accounting;CX8911
pay expenses;95;23.01.2017 08:54:00;23.01.2017 09:04:00;Accounting;CX8911
send original documents to archive;96;08.01.2017 16:37:00;09.01.2017 19:01:00;Employee;TQ4585
calculate payments;96;15.01.2017 05:47:00;16.01.2017 08:30:00;Accounting;FQ3758
pay expenses;96;30.01.2017 08:59:00;30.01.2017 09:10:00;Accounting;FQ3758
upload travel expense documents;97;02.01.2017 06:49:00;02.01.2017 07:11:00;Employee;NH6775
file travel expense report;97;02.01.2017 07:11:00;02.01.2017 07:16:00;Employee;NH6775
confirm travel expense report;97;02.01.2017 07:16:00;02.01.2017 07:19:00;Employee;NH6775
decide on travel expense approval;97;02.01.2017 13:10:00;02.01.2017 13:14:00;Manager;CV4719
send original documents to archive;97;17.01.2017 17:32:00;17.01.2017 18:16:00;Employee;NH6775
calculate payments;97;06.02.2017 08:37:00;06.02.2017 08:54:00;Accounting;GR7476
pay expenses;97;13.02.2017 09:29:00;13.02.2017 09:38:00;Accounting;GR7476
check if expense documents exist;100;30.01.2017 05:59:00;30.01.2017 06:16:00;Employee;GT6397
upload travel expense documents;100;30.01.2017 06:16:00;30.01.2017 06:32:00;Employee;GT6397
file travel expense report;100;30.01.2017 06:32:00;30.01.2017 06:42:00;Employee;GT6397
confirm travel expense report;100;30.01.2017 06:42:00;30.01.2017 06:42:00;Employee;GT6397
decide on travel expense approval;100;30.01.2017 13:05:00;30.01.2017 13:07:00;Manager;CV4719
send original documents to archive;100;02.02.2017 05:59:00;02.02.2017 06:51:00;Employee;GT6397
calculate payments;100;10.03.2017 11:41:00;10.03.2017 12:13:00;Accounting;WO40
pay expenses;100;31.03.2017 08:06:00;31.03.2017 09:17:00;Accounting;WO40
check if expense documents exist;101;05.01.2017 13:05:00;05.01.2017 13:53:00;Employee;EX4174
file travel expense report;101;05.01.2017 13:53:00;05.01.2017 13:57:00;Employee;EX4174
confirm travel expense report;101;05.01.2017 13:57:00;05.01.2017 14:01:00;Employee;EX4174
decide on travel expense approval;101;06.01.2017 12:59:00;06.01.2017 13:04:00;Manager;JH852
send original documents to archive;101;16.01.2017 05:59:00;16.01.2017 06:38:00;Employee;EX4174
calculate payments;101;01.02.2017 07:59:00;01.02.2017 08:28:00;Accounting;CX8911
pay expenses;101;13.02.2017 07:59:00;13.02.2017 08:06:00;Accounting;CX8911
pay expenses;102;18.01.2017 07:59:00;18.01.2017 08:05:00;Accounting;FQ3758
pay expenses;103;08.01.2017 07:26:00;12.01.2017 14:26:00;Accounting;WO40
pay expenses;104;12.01.2017 02:27:00;16.01.2017 08:52:00;Accounting;CX8911
file travel request;105;17.01.2017 11:17:00;17.01.2017 11:23:00;Employee;JB8510
check if travel request needs preliminary price inquiry;105;17.01.2017 11:23:00;17.01.2017 11:24:00;Employee;JB8510
decide on approval requirements;105;17.01.2017 11:24:00;17.01.2017 11:24:00;Employee;JB8510
check if booking is necessary;105;17.01.2017 11:24:00;17.01.2017 11:40:00;Travel Department;KS9688
check if expense documents exist;105;18.01.2017 05:59:00;18.01.2017 06:31:00;Employee;JB8510
upload travel expense documents;105;18.01.2017 06:31:00;18.01.2017 06:39:00;Employee;JB8510
file travel expense report;105;18.01.2017 06:39:00;18.01.2017 06:54:00;Employee;JB8510
confirm travel expense report;105;18.01.2017 06:54:00;18.01.2017 06:57:00;Employee;JB8510
decide on travel expense approval;105;18.01.2017 12:59:00;18.01.2017 13:03:00;Manager;MA6233
send original documents to archive;105;06.02.2017 05:59:00;06.02.2017 06:45:00;Employee;JB8510
calculate payments;105;10.03.2017 11:13:00;10.03.2017 11:52:00;Accounting;WO40
pay expenses;105;17.03.2017 08:06:00;17.03.2017 08:11:00;Accounting;WO40
pay expenses;106;13.01.2017 07:59:00;13.01.2017 08:05:00;Accounting;FQ3758
check if expense documents exist;107;04.01.2017 08:21:00;04.01.2017 08:53:00;Employee;VL1846
upload travel expense documents;107;04.01.2017 08:53:00;04.01.2017 09:01:00;Employee;VL1846
file travel expense report;107;04.01.2017 09:01:00;04.01.2017 09:08:00;Employee;VL1846
confirm travel expense report;107;04.01.2017 09:08:00;04.01.2017 09:10:00;Employee;VL1846
decide on travel expense approval;107;04.01.2017 13:00:00;04.01.2017 13:05:00;Manager;MA6233
send request for travel expense correction;107;04.01.2017 13:05:00;04.01.2017 13:06:00;;
correct travel expense report;107;09.01.2017 05:59:00;09.01.2017 06:36:00;Employee;VL1846
decide on travel expense approval;107;09.01.2017 13:01:00;09.01.2017 13:05:00;Manager;MA6233
send original documents to archive;107;27.01.2017 05:59:00;27.01.2017 06:27:00;Employee;VL1846
calculate payments;107;27.01.2017 07:59:00;27.01.2017 08:43:00;Accounting;FI12
pay expenses;107;13.02.2017 08:19:00;13.02.2017 08:27:00;Accounting;FI12
pay expenses;108;09.01.2017 08:25:00;09.01.2017 08:37:00;Accounting;CX8911
pay expenses;112;05.01.2017 01:21:00;09.01.2017 08:04:00;Accounting;VA7847
file travel expense report;114;02.01.2017 06:04:00;02.01.2017 06:10:00;Employee;GD8003
confirm travel expense report;114;02.01.2017 06:10:00;02.01.2017 06:13:00;Employee;GD8003
decide on travel expense approval;114;02.01.2017 12:59:00;02.01.2017 13:05:00;Manager;CV4719
send original documents to archive;114;03.01.2017 05:59:00;03.01.2017 06:03:00;Employee;GD8003
calculate payments;114;06.03.2017 07:59:00;06.03.2017 08:53:00;Accounting;CX8911
pay expenses;114;23.03.2017 07:59:00;23.03.2017 08:09:00;Accounting;CX8911
calculate payments;117;06.01.2017 06:11:00;01.02.2017 08:54:00;Accounting;VA7847
pay expenses;117;16.02.2017 07:59:00;16.02.2017 08:04:00;Accounting;VA7847
check if expense documents exist;118;17.01.2017 06:50:00;17.01.2017 07:06:00;Employee;ES644
upload travel expense documents;118;17.01.2017 07:06:00;17.01.2017 07:13:00;Employee;ES644
file travel expense report;118;17.01.2017 07:13:00;17.01.2017 07:20:00;Employee;ES644
confirm travel expense report;118;17.01.2017 07:20:00;17.01.2017 07:24:00;Employee;ES644
decide on travel expense approval;118;17.01.2017 12:59:00;17.01.2017 13:04:00;Manager;DY1868
send original documents to archive;118;26.01.2017 06:39:00;26.01.2017 07:15:00;Employee;ES644
calculate payments;118;08.03.2017 07:59:00;08.03.2017 08:26:00;Accounting;FI12
pay expenses;118;13.03.2017 15:48:00;13.03.2017 15:59:00;Accounting;FI12
decide on travel expense approval;121;01.01.2017 16:04:00;02.01.2017 13:01:00;Manager;YS1169
send request for travel expense correction;121;02.01.2017 13:01:00;02.01.2017 13:02:00;;
correct travel expense report;121;10.01.2017 06:38:00;10.01.2017 07:05:00;Employee;DM7475
decide on travel expense approval;121;10.01.2017 12:59:00;10.01.2017 13:01:00;Manager;YS1169
send request for travel expense correction;121;10.01.2017 13:01:00;10.01.2017 13:02:00;;
correct travel expense report;121;16.01.2017 05:59:00;16.01.2017 06:34:00;Employee;DM7475
decide on travel expense approval;121;16.01.2017 13:00:00;16.01.2017 13:07:00;Manager;YS1169
send original documents to archive;121;30.01.2017 05:59:00;30.01.2017 06:15:00;Employee;DM7475
calculate payments;121;14.02.2017 08:05:00;14.02.2017 08:20:00;Accounting;FI12
pay expenses;121;20.02.2017 09:41:00;20.02.2017 09:50:00;Accounting;FI12
check if expense documents exist;122;19.01.2017 05:59:00;19.01.2017 06:42:00;Employee;IM8241
file travel expense report;122;19.01.2017 06:42:00;19.01.2017 06:47:00;Employee;IM8241
confirm travel expense report;122;19.01.2017 06:47:00;19.01.2017 06:50:00;Employee;IM8241
decide on travel expense approval;122;19.01.2017 13:00:00;19.01.2017 13:01:00;Manager;YS1169
send request for travel expense correction;122;19.01.2017 13:01:00;19.01.2017 13:02:00;;
correct travel expense report;122;25.01.2017 05:59:00;25.01.2017 06:08:00;Employee;IM8241
decide on travel expense approval;122;25.01.2017 12:59:00;25.01.2017 13:01:00;Manager;YS1169
send request for travel expense correction;122;25.01.2017 13:01:00;25.01.2017 13:02:00;;
correct travel expense report;122;03.02.2017 05:59:00;03.02.2017 06:16:00;Employee;IM8241
decide on travel expense approval;122;03.02.2017 12:59:00;03.02.2017 13:00:00;Manager;YS1169
send original documents to archive;122;13.02.2017 05:59:00;13.02.2017 06:36:00;Employee;IM8241
calculate payments;122;27.02.2017 09:23:00;27.02.2017 09:43:00;Accounting;FQ3758
pay expenses;122;10.03.2017 08:13:00;10.03.2017 08:17:00;Accounting;FQ3758
pay expenses;125;23.01.2017 09:40:00;23.01.2017 09:44:00;Accounting;WE5108
check if expense documents exist;126;05.01.2017 14:10:00;05.01.2017 14:34:00;Employee;LB3142
file travel expense report;126;05.01.2017 14:34:00;05.01.2017 14:44:00;Employee;LB3142
confirm travel expense report;126;05.01.2017 14:44:00;05.01.2017 14:45:00;Employee;LB3142
decide on travel expense approval;126;06.01.2017 12:59:00;06.01.2017 13:00:00;Manager;CV4719
send request for travel expense correction;126;06.01.2017 13:00:00;06.01.2017 13:01:00;;
correct travel expense report;126;11.01.2017 18:32:00;11.01.2017 19:02:00;Employee;LB3142
decide on travel expense approval;126;12.01.2017 12:59:00;12.01.2017 13:03:00;Manager;CV4719
send request for travel expense correction;126;12.01.2017 13:03:00;12.01.2017 13:04:00;;
correct travel expense report;126;16.01.2017 05:59:00;16.01.2017 06:27:00;Employee;LB3142
decide on travel expense approval;126;16.01.2017 12:59:00;16.01.2017 13:05:00;Manager;CV4719
send original documents to archive;126;30.01.2017 16:33:00;30.01.2017 17:06:00;Employee;LB3142
calculate payments;126;23.02.2017 08:38:00;23.02.2017 09:06:00;Accounting;WE5108
pay expenses;126;03.03.2017 14:32:00;03.03.2017 14:44:00;Accounting;WE5108
pay expenses;131;18.01.2017 01:32:00;19.01.2017 08:12:00;Accounting;FI12
pay expenses;132;23.01.2017 08:58:00;23.01.2017 09:05:00;Accounting;WE5108
calculate payments;133;12.01.2017 08:08:00;23.01.2017 11:16:00;Accounting;CX8911
pay expenses;133;14.02.2017 07:59:00;14.02.2017 08:08:00;Accounting;CX8911
calculate payments;134;29.01.2017 12:43:00;07.02.2017 15:38:00;Accounting;GR7476
decide on request;134;29.01.2017 13:23:00;29.01.2017 13:26:00;Manager;IC4569
pay expenses;134;03.03.2017 07:59:00;03.03.2017 08:05:00;Accounting;GR7476
upload travel expense documents;136;02.01.2017 06:20:00;02.01.2017 06:29:00;Employee;JB8510
file travel expense report;136;02.01.2017 06:29:00;02.01.2017 06:38:00;Employee;JB8510
confirm travel expense report;136;02.01.2017 06:38:00;02.01.2017 06:41:00;Employee;JB8510
decide on travel expense approval;136;02.01.2017 13:04:00;02.01.2017 13:07:00;Manager;MA6233
send original documents to archive;136;05.01.2017 21:57:00;05.01.2017 22:24:00;Employee;JB8510
calculate payments;136;02.02.2017 08:27:00;02.02.2017 09:17:00;Accounting;WE5108
pay expenses;136;13.02.2017 08:51:00;13.02.2017 08:58:00;Accounting;WE5108
check if expense documents exist;139;01.01.2017 19:43:00;04.01.2017 12:33:00;Employee;WU3070
upload travel expense documents;139;04.01.2017 12:33:00;04.01.2017 12:48:00;Employee;WU3070
file travel expense report;139;04.01.2017 12:48:00;04.01.2017 12:55:00;Employee;WU3070
confirm travel expense report;139;04.01.2017 12:55:00;04.01.2017 12:59:00;Employee;WU3070
decide on travel expense approval;139;04.01.2017 13:02:00;04.01.2017 13:03:00;Manager;CV4719
send request for travel expense correction;139;04.01.2017 13:03:00;04.01.2017 13:04:00;;
correct travel expense report;139;05.01.2017 05:59:00;05.01.2017 06:54:00;Employee;WU3070
decide on travel expense approval;139;05.01.2017 12:59:00;05.01.2017 13:02:00;Manager;CV4719
