activity;case;start;end
prepare booking proposal;1450;18.01.2017 14:21;18.01.2017 16:00
send booking proposal to employee;1450;23.01.2017 13:16;23.01.2017 13:21
check booking proposal;1450;23.01.2017 14:53;23.01.2017 14:58
check if travel request is still needed and up to date;1450;26.01.2017 05:59;26.01.2017 06:23
request update of the booking proposal;1450;26.01.2017 06:23;26.01.2017 06:23
prepare booking proposal;1450;30.01.2017 11:09;30.01.2017 12:35
send booking proposal to employee;1450;03.02.2017 07:59;03.02.2017 08:03
check booking proposal;1450;03.02.2017 08:45;03.02.2017 08:48
check if travel request is still needed and up to date;1450;08.02.2017 08:42;08.02.2017 09:01
request update of the booking proposal;1450;08.02.2017 09:01;08.02.2017 09:02
prepare booking proposal;1450;13.02.2017 13:13;13.02.2017 13:48
send booking proposal to employee;1450;17.02.2017 08:10;17.02.2017 08:12
check booking proposal;1450;17.02.2017 10:21;17.02.2017 10:23
book travel;1450;22.02.2017 09:38;22.02.2017 10:53
check if expense documents exist;1450;01.06.2017 10:06;01.06.2017 10:42
upload travel expense documents;1450;01.06.2017 10:42;01.06.2017 10:54
file travel expense report;1450;01.06.2017 10:54;01.06.2017 11:04
confirm travel expense report;1450;01.06.2017 11:04;01.06.2017 11:04
decide on travel expense approval;1450;01.06.2017 14:01;01.06.2017 14:07
send original documents to archive;1450;06.06.2017 06:59;06.06.2017 07:31
calculate payments;1450;19.06.2017 11:01;19.06.2017 11:20
pay expenses;1450;05.07.2017 09:04;05.07.2017 09:14
file travel request;1451;01.01.2017 21:00;02.01.2017 06:13
check if travel request needs preliminary price inquiry;1451;02.01.2017 06:13;02.01.2017 06:15
decide on approval requirements;1451;02.01.2017 06:15;02.01.2017 06:16
check if booking is necessary;1451;04.01.2017 08:05;04.01.2017 08:10
prepare booking proposal;1451;06.01.2017 10:01;06.01.2017 10:31
send booking proposal to employee;1451;10.01.2017 12:01;10.01.2017 12:04
check booking proposal;1451;10.01.2017 12:16;10.01.2017 12:21
book travel;1451;12.01.2017 14:00;12.01.2017 15:55
check if expense documents exist;1451;17.04.2017 06:59;17.04.2017 07:11
upload travel expense documents;1451;17.04.2017 07:11;17.04.2017 07:26
file travel expense report;1451;17.04.2017 07:26;17.04.2017 07:41
confirm travel expense report;1451;17.04.2017 07:41;17.04.2017 07:44
decide on travel expense approval;1451;17.04.2017 14:05;17.04.2017 14:06
send original documents to archive;1451;03.05.2017 06:59;03.05.2017 07:26
calculate payments;1451;08.05.2017 11:07;08.05.2017 11:35
pay expenses;1451;22.05.2017 10:16;22.05.2017 10:22
file travel request;1452;01.01.2017 22:30;02.01.2017 06:22
check if travel request needs preliminary price inquiry;1452;02.01.2017 06:22;02.01.2017 06:23
decide on approval requirements;1452;02.01.2017 06:23;02.01.2017 06:24
check if booking is necessary;1452;04.01.2017 09:20;04.01.2017 09:25
check if expense documents exist;1452;03.03.2017 12:59;03.03.2017 13:27
upload travel expense documents;1452;03.03.2017 13:27;03.03.2017 13:41
file travel expense report;1452;03.03.2017 13:41;03.03.2017 13:45
confirm travel expense report;1452;03.03.2017 13:45;03.03.2017 13:49
decide on travel expense approval;1452;06.03.2017 12:59;06.03.2017 13:01
send original documents to archive;1452;20.03.2017 05:59;20.03.2017 06:02
calculate payments;1452;24.03.2017 13:33;24.03.2017 14:15
pay expenses;1452;03.04.2017 10:28;03.04.2017 11:38
file travel request;1453;02.01.2017 00:00;02.01.2017 06:21
check if travel request needs preliminary price inquiry;1453;02.01.2017 06:21;02.01.2017 06:22
decide on approval requirements;1453;02.01.2017 06:22;02.01.2017 06:23
check if booking is necessary;1453;04.01.2017 09:11;04.01.2017 09:13
prepare booking proposal;1453;06.01.2017 10:36;06.01.2017 11:41
send booking proposal to employee;1453;10.01.2017 12:14;10.01.2017 12:16
check booking proposal;1453;10.01.2017 14:36;10.01.2017 14:44
book travel;1453;13.01.2017 09:20;13.01.2017 10:14
check if expense documents exist;1453;06.03.2017 05:59;06.03.2017 06:20
upload travel expense documents;1453;06.03.2017 06:20;06.03.2017 06:29
file travel expense report;1453;06.03.2017 06:29;06.03.2017 06:43
confirm travel expense report;1453;06.03.2017 06:43;06.03.2017 06:45
decide on travel expense approval;1453;06.03.2017 13:04;06.03.2017 13:05
send request for travel expense correction;1453;06.03.2017 13:05;06.03.2017 13:06
correct travel expense report;1453;16.03.2017 17:02;16.03.2017 17:36
decide on travel expense approval;1453;17.03.2017 12:59;17.03.2017 13:05
send original documents to archive;1453;03.04.2017 11:27;03.04.2017 12:54
calculate payments;1453;27.04.2017 08:04;27.04.2017 09:56
pay expenses;1453;17.05.2017 09:07;17.05.2017 09:17
file travel request;1454;02.01.2017 01:30;02.01.2017 06:12
check if travel request needs preliminary price inquiry;1454;02.01.2017 06:12;02.01.2017 06:13
decide on approval requirements;1454;02.01.2017 06:13;02.01.2017 06:14
check if booking is necessary;1454;04.01.2017 08:02;04.01.2017 08:05
check if expense documents exist;1454;13.03.2017 05:59;13.03.2017 06:41
upload travel expense documents;1454;13.03.2017 06:41;13.03.2017 07:12
file travel expense report;1454;13.03.2017 07:12;13.03.2017 07:27
confirm travel expense report;1454;13.03.2017 07:27;13.03.2017 07:28
decide on travel expense approval;1454;13.03.2017 13:09;13.03.2017 13:10
send request for travel expense correction;1454;13.03.2017 13:10;13.03.2017 13:11
correct travel expense report;1454;20.03.2017 05:59;20.03.2017 06:20
decide on travel expense approval;1454;20.03.2017 12:59;20.03.2017 13:04
send original documents to archive;1454;20.03.2017 13:32;20.03.2017 14:03
calculate payments;1454;11.04.2017 08:03;11.04.2017 09:38
pay expenses;1454;20.04.2017 09:10;20.04.2017 09:22
file travel request;1455;02.01.2017 03:00;02.01.2017 06:15
check if travel request needs preliminary price inquiry;1455;02.01.2017 06:15;02.01.2017 06:16
prepare booking proposal;1455;04.01.2017 08:06;04.01.2017 09:20
send booking proposal to employee;1455;06.01.2017 10:38;06.01.2017 10:41
check booking proposal;1455;06.01.2017 16:39;06.01.2017 16:41
transform price inquiry to travel request;1455;06.01.2017 16:44;06.01.2017 16:44
decide on approval requirements;1455;06.01.2017 16:44;06.01.2017 16:45
check if booking is necessary;1455;11.01.2017 07:59;11.01.2017 08:05
prepare booking proposal;1455;13.01.2017 14:04;13.01.2017 14:36
send booking proposal to employee;1455;18.01.2017 09:21;18.01.2017 09:24
check booking proposal;1455;18.01.2017 12:54;18.01.2017 13:03
book travel;1455;23.01.2017 08:53;23.01.2017 09:16
check if expense documents exist;1455;17.04.2017 06:59;17.04.2017 07:57
upload travel expense documents;1455;17.04.2017 07:57;17.04.2017 08:04
file travel expense report;1455;17.04.2017 08:04;17.04.2017 08:09
confirm travel expense report;1455;17.04.2017 08:09;17.04.2017 08:11
decide on travel expense approval;1455;17.04.2017 14:07;17.04.2017 14:08
send request for travel expense correction;1455;17.04.2017 14:08;17.04.2017 14:08
correct travel expense report;1455;21.04.2017 07:28;21.04.2017 08:21
decide on travel expense approval;1455;21.04.2017 13:59;21.04.2017 14:04
send original documents to archive;1455;02.05.2017 15:13;02.05.2017 15:30
calculate payments;1455;08.05.2017 09:07;08.05.2017 09:54
pay expenses;1455;18.05.2017 09:06;18.05.2017 09:13
file travel request;1456;02.01.2017 04:30;02.01.2017 06:14
check if travel request needs preliminary price inquiry;1456;02.01.2017 06:14;02.01.2017 06:15
decide on approval requirements;1456;02.01.2017 06:15;02.01.2017 06:16
check if booking is necessary;1456;04.01.2017 08:05;04.01.2017 08:09
prepare booking proposal;1456;06.01.2017 09:49;06.01.2017 11:43
send booking proposal to employee;1456;10.01.2017 12:16;10.01.2017 12:17
check booking proposal;1456;10.01.2017 15:29;10.01.2017 15:40
book travel;1456;13.01.2017 10:14;13.01.2017 13:30
check if expense documents exist;1456;06.02.2017 05:59;06.02.2017 06:30
file travel expense report;1456;06.02.2017 06:30;06.02.2017 06:36
confirm travel expense report;1456;06.02.2017 06:36;06.02.2017 06:38
decide on travel expense approval;1456;06.02.2017 13:04;06.02.2017 13:04
send original documents to archive;1456;10.02.2017 08:26;10.02.2017 08:50
calculate payments;1456;06.03.2017 09:39;06.03.2017 10:01
pay expenses;1456;20.03.2017 07:59;20.03.2017 08:05
file travel request;1457;02.01.2017 05:59;02.01.2017 06:19
check if travel request needs preliminary price inquiry;1457;02.01.2017 06:19;02.01.2017 06:20
decide on approval requirements;1457;02.01.2017 06:20;02.01.2017 06:21
check if booking is necessary;1457;04.01.2017 08:53;04.01.2017 08:55
check if expense documents exist;1457;13.03.2017 05:59;13.03.2017 06:15
file travel expense report;1457;13.03.2017 06:15;13.03.2017 06:22
confirm travel expense report;1457;13.03.2017 06:22;13.03.2017 06:25
decide on travel expense approval;1457;13.03.2017 12:59;13.03.2017 13:00
send original documents to archive;1457;28.03.2017 21:42;28.03.2017 23:06
calculate payments;1457;11.04.2017 08:41;11.04.2017 10:30
pay expenses;1457;20.04.2017 11:45;20.04.2017 11:51
file travel request;1458;02.01.2017 05:59;02.01.2017 06:11
check if travel request needs preliminary price inquiry;1458;02.01.2017 06:11;02.01.2017 06:12
decide on approval requirements;1458;02.01.2017 06:12;02.01.2017 06:13
forward request to approver;1458;02.01.2017 06:13;02.01.2017 06:14
decide on request;1458;02.01.2017 12:59;02.01.2017 13:01
check if booking is necessary;1458;04.01.2017 13:20;04.01.2017 13:25
prepare booking proposal;1458;06.01.2017 12:19;06.01.2017 12:48
send booking proposal to employee;1458;10.01.2017 13:03;10.01.2017 13:03
check booking proposal;1458;10.01.2017 15:21;10.01.2017 15:24
book travel;1458;13.01.2017 10:11;13.01.2017 12:23
check if expense documents exist;1458;28.03.2017 16:53;28.03.2017 18:45
upload travel expense documents;1458;28.03.2017 18:45;28.03.2017 18:56
file travel expense report;1458;28.03.2017 18:56;28.03.2017 19:02
confirm travel expense report;1458;28.03.2017 19:02;28.03.2017 19:05
decide on travel expense approval;1458;29.03.2017 13:59;29.03.2017 14:02
send original documents to archive;1458;14.04.2017 13:53;14.04.2017 14:04
calculate payments;1458;22.05.2017 09:28;22.05.2017 10:05
pay expenses;1458;05.06.2017 10:07;05.06.2017 10:16
file travel request;1460;02.01.2017 05:59;02.01.2017 06:16
check if travel request needs preliminary price inquiry;1460;02.01.2017 06:16;02.01.2017 06:18
decide on approval requirements;1460;02.01.2017 06:18;02.01.2017 06:18
forward request to approver;1460;02.01.2017 06:18;02.01.2017 06:20
decide on request;1460;02.01.2017 13:01;02.01.2017 13:05
check if booking is necessary;1460;04.01.2017 13:29;04.01.2017 13:34
check if expense documents exist;1460;20.02.2017 05:59;20.02.2017 06:54
upload travel expense documents;1460;20.02.2017 06:54;20.02.2017 07:06
file travel expense report;1460;20.02.2017 07:06;20.02.2017 07:24
confirm travel expense report;1460;20.02.2017 07:24;20.02.2017 07:27
decide on travel expense approval;1460;20.02.2017 13:08;20.02.2017 13:12
send original documents to archive;1460;06.03.2017 05:59;06.03.2017 06:14
calculate payments;1460;21.03.2017 08:16;21.03.2017 09:10
pay expenses;1460;10.04.2017 07:59;10.04.2017 09:03
file travel request;1461;02.01.2017 05:59;02.01.2017 06:20
check if travel request needs preliminary price inquiry;1461;02.01.2017 06:20;02.01.2017 06:21
decide on approval requirements;1461;02.01.2017 06:21;02.01.2017 06:23
check if booking is necessary;1461;04.01.2017 09:13;04.01.2017 09:19
check if expense documents exist;1461;19.01.2017 20:15;19.01.2017 21:25
file travel expense report;1461;19.01.2017 21:25;19.01.2017 21:32
confirm travel expense report;1461;19.01.2017 21:32;19.01.2017 21:32
decide on travel expense approval;1461;20.01.2017 12:59;20.01.2017 13:04
send request for travel expense correction;1461;20.01.2017 13:04;20.01.2017 13:06
correct travel expense report;1461;27.01.2017 08:17;27.01.2017 09:15
decide on travel expense approval;1461;27.01.2017 13:02;27.01.2017 13:05
send request for travel expense correction;1461;27.01.2017 13:05;27.01.2017 13:06
correct travel expense report;1461;30.01.2017 09:10;30.01.2017 09:55
decide on travel expense approval;1461;30.01.2017 13:10;30.01.2017 13:13
send original documents to archive;1461;02.02.2017 09:28;02.02.2017 10:27
calculate payments;1461;21.03.2017 07:59;21.03.2017 08:21
pay expenses;1461;31.03.2017 08:08;31.03.2017 09:12
file travel request;1462;02.01.2017 05:59;02.01.2017 06:14
check if travel request needs preliminary price inquiry;1462;02.01.2017 06:14;02.01.2017 06:16
decide on approval requirements;1462;02.01.2017 06:16;02.01.2017 06:17
check if booking is necessary;1462;04.01.2017 08:09;04.01.2017 08:15
check if expense documents exist;1462;16.01.2017 05:59;16.01.2017 06:23
file travel expense report;1462;16.01.2017 06:23;16.01.2017 06:40
confirm travel expense report;1462;16.01.2017 06:40;16.01.2017 06:44
decide on travel expense approval;1462;16.01.2017 13:02;16.01.2017 13:04
send original documents to archive;1462;01.02.2017 12:06;01.02.2017 13:02
calculate payments;1462;13.02.2017 08:12;13.02.2017 08:52
pay expenses;1462;28.02.2017 13:38;28.02.2017 13:46
file travel request;1464;02.01.2017 05:59;02.01.2017 06:07
check if travel request needs preliminary price inquiry;1464;02.01.2017 06:07;02.01.2017 06:08
prepare booking proposal;1464;03.01.2017 15:54;03.01.2017 16:35
send booking proposal to employee;1464;05.01.2017 15:22;05.01.2017 15:24
check booking proposal;1464;05.01.2017 16:53;05.01.2017 16:58
check if price inquiry is still needed and up to date;1464;13.01.2017 18:18;13.01.2017 18:33
request update of the booking proposal;1464;13.01.2017 18:33;13.01.2017 18:33
prepare booking proposal;1464;18.01.2017 10:33;18.01.2017 12:07
send booking proposal to employee;1464;20.01.2017 15:38;20.01.2017 15:41
check booking proposal;1464;20.01.2017 17:24;20.01.2017 17:33
transform price inquiry to travel request;1464;20.01.2017 17:41;20.01.2017 17:41
decide on approval requirements;1464;20.01.2017 17:41;20.01.2017 17:43
check if booking is necessary;1464;26.01.2017 08:30;26.01.2017 08:32
prepare booking proposal;1464;30.01.2017 12:02;30.01.2017 13:07
send booking proposal to employee;1464;03.02.2017 08:07;03.02.2017 08:10
check booking proposal;1464;03.02.2017 10:54;03.02.2017 10:56
check if travel request is still needed and up to date;1464;07.02.2017 09:20;07.02.2017 09:50
request update of the booking proposal;1464;07.02.2017 09:50;07.02.2017 09:50
prepare booking proposal;1464;10.02.2017 14:31;10.02.2017 15:08
send booking proposal to employee;1464;15.02.2017 14:03;15.02.2017 14:07
check booking proposal;1464;15.02.2017 18:46;15.02.2017 18:47
book travel;1464;20.02.2017 15:32;20.02.2017 16:55
check if expense documents exist;1464;23.05.2017 18:04;23.05.2017 18:25
upload travel expense documents;1464;23.05.2017 18:25;23.05.2017 18:31
file travel expense report;1464;23.05.2017 18:31;23.05.2017 18:48
confirm travel expense report;1464;23.05.2017 18:48;23.05.2017 18:50
decide on travel expense approval;1464;24.05.2017 13:59;24.05.2017 14:05
send original documents to archive;1464;01.06.2017 06:59;01.06.2017 07:13
calculate payments;1464;08.06.2017 09:11;08.06.2017 09:41
pay expenses;1464;20.06.2017 13:39;20.06.2017 13:50
file travel request;1465;02.01.2017 05:59;02.01.2017 06:05
check if travel request needs preliminary price inquiry;1465;02.01.2017 06:05;02.01.2017 06:07
decide on approval requirements;1465;02.01.2017 06:07;02.01.2017 06:08
check if booking is necessary;1465;04.01.2017 07:59;04.01.2017 08:02
prepare booking proposal;1465;06.01.2017 08:54;06.01.2017 10:01
send booking proposal to employee;1465;10.01.2017 11:58;10.01.2017 12:01
check booking proposal;1465;10.01.2017 14:21;10.01.2017 14:22
check if travel request is still needed and up to date;1465;23.01.2017 05:59;23.01.2017 06:41
request update of the booking proposal;1465;23.01.2017 06:41;23.01.2017 06:41
prepare booking proposal;1465;26.01.2017 15:11;26.01.2017 17:14
send booking proposal to employee;1465;31.01.2017 13:20;31.01.2017 13:22
check booking proposal;1465;31.01.2017 16:36;31.01.2017 16:43
check if travel request is still needed and up to date;1465;03.02.2017 05:59;03.02.2017 06:12
request update of the booking proposal;1465;03.02.2017 06:12;03.02.2017 06:12
prepare booking proposal;1465;07.02.2017 11:27;07.02.2017 13:37
send booking proposal to employee;1465;13.02.2017 09:29;13.02.2017 09:30
check booking proposal;1465;13.02.2017 12:19;13.02.2017 12:23
book travel;1465;16.02.2017 15:00;16.02.2017 17:02
check if expense documents exist;1465;17.04.2017 06:59;17.04.2017 07:07
file travel expense report;1465;17.04.2017 07:07;17.04.2017 07:11
confirm travel expense report;1465;17.04.2017 07:11;17.04.2017 07:12
decide on travel expense approval;1465;17.04.2017 13:59;17.04.2017 14:01
send original documents to archive;1465;27.04.2017 15:10;27.04.2017 15:25
calculate payments;1465;19.05.2017 16:29;19.05.2017 16:54
pay expenses;1465;02.06.2017 10:40;02.06.2017 10:48
file travel request;1466;02.01.2017 05:59;02.01.2017 06:11
check if travel request needs preliminary price inquiry;1466;02.01.2017 06:11;02.01.2017 06:12
decide on approval requirements;1466;02.01.2017 06:12;02.01.2017 06:13
check if booking is necessary;1466;04.01.2017 08:01;04.01.2017 08:02
check if expense documents exist;1466;09.03.2017 05:59;09.03.2017 06:21
upload travel expense documents;1466;09.03.2017 06:21;09.03.2017 06:40
file travel expense report;1466;09.03.2017 06:40;09.03.2017 06:51
confirm travel expense report;1466;09.03.2017 06:51;09.03.2017 06:52
decide on travel expense approval;1466;09.03.2017 13:01;09.03.2017 13:04
send original documents to archive;1466;23.03.2017 05:59;23.03.2017 06:34
calculate payments;1466;24.03.2017 07:59;24.03.2017 08:57
pay expenses;1466;14.04.2017 07:59;14.04.2017 09:09
file travel request;1467;02.01.2017 05:59;02.01.2017 06:18
check if travel request needs preliminary price inquiry;1467;02.01.2017 06:18;02.01.2017 06:19
decide on approval requirements;1467;02.01.2017 06:19;02.01.2017 06:19
check if booking is necessary;1467;04.01.2017 08:37;04.01.2017 08:48
prepare booking proposal;1467;06.01.2017 10:34;06.01.2017 11:19
send booking proposal to employee;1467;10.01.2017 12:12;10.01.2017 12:14
check booking proposal;1467;10.01.2017 13:50;10.01.2017 13:55
book travel;1467;13.01.2017 07:59;13.01.2017 10:58
check if expense documents exist;1467;27.04.2017 19:40;27.04.2017 20:46
file travel expense report;1467;27.04.2017 20:46;27.04.2017 21:07
confirm travel expense report;1467;27.04.2017 21:07;27.04.2017 21:10
decide on travel expense approval;1467;28.04.2017 13:59;28.04.2017 14:04
send original documents to archive;1467;11.05.2017 06:59;11.05.2017 07:21
calculate payments;1467;25.05.2017 08:59;25.05.2017 09:40
pay expenses;1467;29.05.2017 10:39;29.05.2017 10:45
file travel request;1468;02.01.2017 05:59;02.01.2017 06:23
check if travel request needs preliminary price inquiry;1468;02.01.2017 06:23;02.01.2017 06:24
prepare booking proposal;1468;04.01.2017 09:19;04.01.2017 10:09
send booking proposal to employee;1468;06.01.2017 11:11;06.01.2017 11:13
check booking proposal;1468;06.01.2017 13:54;06.01.2017 13:55
transform price inquiry to travel request;1468;06.01.2017 14:00;06.01.2017 14:01
decide on approval requirements;1468;06.01.2017 14:01;06.01.2017 14:01
check if booking is necessary;1468;10.01.2017 13:58;10.01.2017 14:01
prepare booking proposal;1468;13.01.2017 08:01;13.01.2017 09:43
send booking proposal to employee;1468;17.01.2017 15:43;17.01.2017 15:47
check booking proposal;1468;17.01.2017 21:30;17.01.2017 21:33
book travel;1468;20.01.2017 12:24;20.01.2017 13:29
check if expense documents exist;1468;22.02.2017 18:12;22.02.2017 18:37
upload travel expense documents;1468;22.02.2017 18:37;22.02.2017 18:44
file travel expense report;1468;22.02.2017 18:44;22.02.2017 18:56
confirm travel expense report;1468;22.02.2017 18:56;22.02.2017 18:58
decide on travel expense approval;1468;23.02.2017 12:59;23.02.2017 13:04
send original documents to archive;1468;13.03.2017 06:55;13.03.2017 07:11
calculate payments;1468;16.03.2017 08:06;16.03.2017 08:54
pay expenses;1468;27.03.2017 08:54;27.03.2017 10:02
file travel request;1469;02.01.2017 05:59;02.01.2017 06:15
check if travel request needs preliminary price inquiry;1469;02.01.2017 06:15;02.01.2017 06:16
decide on approval requirements;1469;02.01.2017 06:16;02.01.2017 06:16
forward request to approver;1469;02.01.2017 06:16;02.01.2017 06:17
decide on request;1469;02.01.2017 13:00;02.01.2017 13:04
check if booking is necessary;1469;04.01.2017 13:28;04.01.2017 13:29
prepare booking proposal;1469;06.01.2017 12:53;06.01.2017 14:49
send booking proposal to employee;1469;10.01.2017 14:10;10.01.2017 14:12
check booking proposal;1469;10.01.2017 17:34;10.01.2017 17:34
check if travel request is still needed and up to date;1469;16.01.2017 05:59;16.01.2017 06:46
request update of the booking proposal;1469;16.01.2017 06:46;16.01.2017 06:46
prepare booking proposal;1469;18.01.2017 14:30;18.01.2017 15:49
send booking proposal to employee;1469;23.01.2017 13:14;23.01.2017 13:16
check booking proposal;1469;23.01.2017 14:56;23.01.2017 14:59
book travel;1469;26.01.2017 15:58;26.01.2017 18:22
check if expense documents exist;1469;24.04.2017 15:22;24.04.2017 15:34
file travel expense report;1469;24.04.2017 15:34;24.04.2017 15:48
confirm travel expense report;1469;24.04.2017 15:48;24.04.2017 15:52
decide on travel expense approval;1469;25.04.2017 13:59;25.04.2017 14:06
send original documents to archive;1469;28.04.2017 06:59;28.04.2017 07:53
calculate payments;1469;10.05.2017 08:59;10.05.2017 09:21
pay expenses;1469;19.05.2017 14:36;19.05.2017 14:47
file travel request;1470;02.01.2017 05:59;02.01.2017 06:29
check if travel request needs preliminary price inquiry;1470;02.01.2017 06:29;02.01.2017 06:31
prepare booking proposal;1470;04.01.2017 09:35;04.01.2017 10:27
send booking proposal to employee;1470;06.01.2017 11:13;06.01.2017 11:16
check booking proposal;1470;06.01.2017 14:38;06.01.2017 14:40
check if price inquiry is still needed and up to date;1470;16.01.2017 05:59;16.01.2017 06:18
request update of the booking proposal;1470;16.01.2017 06:18;16.01.2017 06:18
prepare booking proposal;1470;18.01.2017 13:05;18.01.2017 14:13
send booking proposal to employee;1470;23.01.2017 10:44;23.01.2017 10:46
check booking proposal;1470;23.01.2017 16:18;23.01.2017 16:20
transform price inquiry to travel request;1470;23.01.2017 16:26;23.01.2017 16:26
decide on approval requirements;1470;23.01.2017 16:26;23.01.2017 16:27
forward request to approver;1470;23.01.2017 16:27;23.01.2017 16:28
decide on request;1470;24.01.2017 12:59;24.01.2017 13:00
check if booking is necessary;1470;27.01.2017 10:26;27.01.2017 10:37
prepare booking proposal;1470;01.02.2017 10:50;01.02.2017 11:52
send booking proposal to employee;1470;06.02.2017 08:10;06.02.2017 08:12
check booking proposal;1470;06.02.2017 11:36;06.02.2017 11:38
check if travel request is still needed and up to date;1470;15.02.2017 06:36;15.02.2017 07:14
request update of the booking proposal;1470;15.02.2017 07:14;15.02.2017 07:15
prepare booking proposal;1470;20.02.2017 10:54;20.02.2017 11:57
send booking proposal to employee;1470;24.02.2017 11:48;24.02.2017 11:51
check booking proposal;1470;24.02.2017 13:43;24.02.2017 13:48
book travel;1470;01.03.2017 13:02;01.03.2017 16:00
